trueComp,predComp,FDR,n
Cell junction,Plasma membrane,5.867597436276691e-35,153/235
Chromatin,Nucleus,2.3261093431352532e-126,354/383
ER membrane,Endoplasmic reticulum,4.937131733627673e-58,86/127
Mitochondrial matrix,Mitochondrion,4.605521655936477e-262,266/299
"Actin, cytosol",Cytoskeleton,2.7485908978965046e-57,142/300
ER lumen,Endoplasmic reticulum,7.103217426080915e-88,122/165
"Endosome, lysosome",Endosome,4.7492063592211054e-68,87/173
Nucleolus,Nucleus,5.180915512754781e-48,145/164
Nucleoplasm,Nucleus,9.377408643639606e-66,222/247
Nuclear body,Nucleus,1.170134081487285e-102,279/295
Plasma membrane,Plasma membrane,1.2193063664168273e-52,248/376
Centrosome,Cytoskeleton,5.82532007421588e-58,130/258
"Mitochondrial Membrane, Peroxisome",Mitochondrion,1.4127692124559963e-32,74/189
Golgi,Golgi apparatus,2.105321209170581e-62,89/146
Nuclear outer membrane-ER membrane network,Endoplasmic reticulum,7.256068852389769e-97,159/262
Cytoplasmic RNP granule,Cytoplasm,5.4465660374493215e-12,120/143
Microtubules,Cytoskeleton,1.6891693384519515e-59,87/115
"Mitochondrial inner membrane, Mitochondrial inter membrane space",Mitochondrion,1.9237658692508485e-99,106/122
Misc.,Cytoplasm,4.80374243573729e-22,237/279
"Early endosome, Recycling endosome",Intracellular vesicle,6.737876977005044e-37,80/146
