trueComp,predComp,FDR,n
Actin filaments,Cytoskeleton,7.119985696230957e-7,14/29
Cell Junctions,Plasma membrane,1.0576043989172917e-6,32/50
Centriolar satellite,Cytoskeleton,0.01680802193423951,7/25
Centrosome,Cytoskeleton,4.190195501614392e-17,37/78
Cytoplasmic bodies,Cytoplasm,0.09724590486916804,10/11
Cytosol,Cytoplasm,1.0758268025633852e-64,732/932
Endoplasmic reticulum,Endoplasmic reticulum,2.800213779960888e-109,158/234
Focal adhesion sites,Plasma membrane,0.2608112943394684,8/18
Golgi apparatus,Golgi apparatus,1.0824268474183488e-68,122/262
Intermediate filaments,Cytoskeleton,6.62768165431412e-14,26/50
Lipid droplets,Endoplasmic reticulum,4.7458574536683273e-4,6/12
Microtubules,Cytoskeleton,8.884011933266092e-9,22/51
Mitochondria,Mitochondrion,0,399/557
Nuclear bodies,Nucleus,2.8836821180208637e-9,47/72
Nuclear membrane,Nucleus,0.008171851716903534,23/37
Nuclear speckles,Nucleus,1.0850462870116352e-40,157/188
Nucleoli,Nucleus,2.621627573140815e-12,63/84
Nucleoli fibrillar center,Nucleus,0.0164020929243913,23/42
Nucleoli rim,Nucleus,0,6/7
Nucleoplasm,Nucleus,0,1357/1666
Peroxisomes,Cytoplasm,0,14/14
Plasma membrane,Plasma membrane,1.916151574157037e-76,242/317
Vesicles,Intracellular vesicle,2.104897687713749e-42,191/594
